Отметка времени,Сколько вам лет?,Ваш пол?,Я...,Где вы продвигаете свои товары?,Насколько тяжело находить клиентов?,"Хотели бы вы, чтобы о ваших товаров узнали как можно больше людей, в следствие чего увеличить продажи?",Как часто вы заказываете товары ручного производства (хендмейд) ДЛЯ СЕБЯ?,Где вы находите исполнителей?,Как часто вы заказываете товары ручного производства (хендмейд) В КАЧЕСТВЕ ПОДАРКА?,Где вы находите исполнителей?,На сколько вам тяжело придумать подарок?,Как часто вы заказываете товары ручного производства (хендмейд) В КАЧЕСТВЕ ПОДАРКА?,Как часто вы заказываете товары ручного производства (хендмейд) ДЛЯ СЕБЯ?,Где вы находите исполнителей?,На сколько вам тяжело придумать подарок?,Где вы продвигаете свои  созданные товары?,Насколько тяжело находить клиентов?,Как часто вы заказываете товары ручного производства (хендмейд) В КАЧЕСТВЕ ПОДАРКА?,Как часто вы заказываете товары ручного производства (хендмейд) ДЛЯ СЕБЯ?,Где вы находите исполнителей?,На сколько вам тяжело придумать подарок ?
2022-05-20 20:47:48.380000,16-18,Мужской,Люблю покупать и дарить,None,None,None,None,None,None,None,None,Редко,Редко,Avito,Очень тяжело,None,None,None,None,None,None
2022-05-21 16:13:47.891000,16-18,Женский,Люблю покупать и дарить,None,None,None,None,None,None,None,None,Редко,Редко,Instagram,Нахожу подарок достаточно быстро,None,None,None,None,None,None
2022-05-21 21:08:30.820000,60+,Женский,Все из списка,None,None,None,None,None,None,None,None,None,None,None,None,Instagram,Очень редко,Редко,Редко,Сама делаю,Вообще не является проблемой
2022-05-21 21:13:42.150000,40-60,Женский,Cоздаю товары своими ручками,Авито,Тяжело. Раз в месяц,"Да, хотелось бы",None,None,None,None,None,None,None,None,None,None,None,None,None,None,None
2022-05-21 21:23:37.163000,40-60,Женский,Я люблю дарить товары ручной работы,None,None,None,None,None,Никогда,Pinterest,Нахожу подарок достаточно быстро,None,None,None,None,None,None,None,None,None,None
2022-05-21 21:29:25.168000,40-60,Женский,Cоздаю товары своими ручками,Авито,Тяжело. Раз в месяц,"Да, хотелось бы",None,None,None,None,None,None,None,None,None,None,None,None,None,None,None
2022-05-21 21:33:09.589000,40-60,Женский,Cоздаю товары своими ручками,ВК,Редко,"Да, хотелось бы",None,None,None,None,None,None,None,None,None,None,None,None,None,None,None
2022-05-21 21:38:29.107000,40-60,Женский,Cоздаю товары своими ручками,Авито,Тяжело. Раз в месяц,"Да, хотелось бы",None,None,None,None,None,None,None,None,None,None,None,None,None,None,None
2022-05-21 21:44:57.804000,40-60,Женский,Cоздаю товары своими ручками,Своим дарю,Не продаю,"Нет, меня итак все устраивает",None,None,None,None,None,None,None,None,None,None,None,None,None,None,None
2022-05-21 21:53:09.212000,19-24,Женский,Cоздаю товары своими ручками,Instagram,Терпимо. Каждую неделю получаю заказы,"Да, хотелось бы",None,None,None,None,None,None,None,None,None,None,None,None,None,None,None
2022-05-21 22:09:23.706000,40-60,Женский,Люблю покупать и дарить,None,None,None,None,None,None,None,None,Редко,Редко,Instagram,Нахожу подарок достаточно быстро,None,None,None,None,None,None
2022-05-21 22:14:45.548000,27-40,Мужской,Люблю покупать и дарить,None,None,None,None,None,None,None,None,Редко,Редко,Avito,Очень тяжело,None,None,None,None,None,None
2022-05-21 22:24:06.770000,40-60,Мужской,Я люблю дарить товары ручной работы,None,None,None,None,None,Редко,Instagram,Очень тяжело,None,None,None,None,None,None,None,None,None,None
2022-05-21 23:12:46.821000,16-18,Мужской,Все из списка,None,None,None,None,None,None,None,None,None,None,None,None,Делаю для себя и близких,не ищу клиентов,Редко,Никогда,Freelance,Очень тяжело
2022-05-21 23:15:58.948000,19-24,Мужской,Все из списка,None,None,None,None,None,None,None,None,None,None,None,None,Делаю для себя и близких,Нужен вариант «не ищу клиентов»,Редко,Редко,Youdo ,Очень тяжело
2022-05-21 23:36:51.533000,40-60,Женский,Cоздаю товары своими ручками,Делаю для себя и близких,Терпимо. Каждую неделю получаю заказы,"Да, хотелось бы",Редко,"ВК ,телеграм ,одноклассники",None,None,None,None,None,None,None,None,None,None,None,None,None
2022-05-22 00:10:39.005000,40-60,Женский,Cоздаю товары своими ручками,Авито,Терпимо. Каждую неделю получаю заказы,"Да, хотелось бы",None,None,None,None,None,None,None,None,None,None,None,None,None,None,None
2022-05-22 00:49:34.624000,16-18,Мужской,Люблю покупать и дарить,None,None,None,None,None,None,None,None,Редко,Редко,Просто интернет),Очень тяжело,None,None,None,None,None,None
2022-05-22 05:05:48.691000,40-60,Женский,Я люблю дарить товары ручной работы,None,None,None,None,None,Редко,Instagram,Нахожу подарок достаточно быстро,None,None,None,None,None,None,None,None,None,None
2022-05-22 06:44:05.881000,40-60,Женский,Я люблю дарить товары ручной работы,None,None,None,None,None,Никогда,Сама делаю,Вообще не является проблемой,None,None,None,None,None,None,None,None,None,None
2022-05-22 06:54:06.275000,40-60,Женский,Cоздаю товары своими ручками,Делаю для себя и близких,Тяжело. Раз в месяц,"Да, хотелось бы",Никогда,По знакомым,None,None,None,None,None,None,None,None,None,None,None,None,None
2022-05-22 07:12:34.504000,60+,Женский,Cоздаю товары своими ручками,Одноклассники и вконтакте,Легко. Каждый день получаю заказы,"Нет, меня итак все устраивает",None,None,None,None,None,None,None,None,None,None,None,None,None,None,None
2022-05-22 07:22:54.866000,27-40,Женский,Все из списка,None,None,None,None,None,None,None,None,None,None,None,None,Делаю для себя и близких,Тяжело. Раз в месяц,Редко,Редко,Avito,Вообще не является проблемой
2022-05-22 10:57:03.202000,27-40,Женский,Все из списка,None,None,None,None,None,None,None,None,None,None,None,None,Делаю для себя и близких,Тяжело. Раз в месяц,Никогда,Редко,Instagram,Вообще не является проблемой
2022-05-22 11:43:19.551000,40-60,Женский,Cоздаю товары своими ручками,Делаю для себя и близких,Тяжело. Раз в месяц,"Да, хотелось бы",Никогда,Instagram,None,None,None,None,None,None,None,None,None,None,None,None,None
2022-05-22 13:56:31.962000,16-18,Мужской,Я люблю дарить товары ручной работы,None,None,None,None,None,Редко,Avito,Нахожу подарок достаточно быстро,None,None,None,None,None,None,None,None,None,None
2022-05-22 19:03:14.437000,16-18,Мужской,Я люблю покупать себе товары ручной работы,None,None,None,Редко,Instagram,None,None,None,None,None,None,None,None,None,None,None,None,None
2022-05-22 19:27:55.557000,19-24,Женский,Cоздаю товары своими ручками,Авито,"Когда как, иногда каждый день, иногда через неделю и т. Яд. ","Да, хотелось бы",None,None,None,None,None,None,None,None,None,None,None,None,None,None,None
2022-05-22 21:38:04.628000,27-40,Мужской,Я люблю дарить товары ручной работы,None,None,None,None,None,Редко,Instagram,Очень тяжело,None,None,None,None,None,None,None,None,None,None
2022-05-22 21:42:06.796000,19-24,Мужской,Люблю покупать и дарить,None,None,None,None,None,None,None,None,Редко,Редко,Instagram,Очень тяжело,None,None,None,None,None,None
2022-05-22 21:42:20.018000,16-18,Женский,Все из списка,None,None,None,None,None,None,None,None,None,None,None,None,Instagram,Тяжело. Раз в месяц,Почти каждый месяц,Редко,Instagram,Очень тяжело
2022-05-22 21:42:28.619000,16-18,Мужской,Люблю покупать и дарить,None,None,None,None,None,None,None,None,Редко,Редко,Freelance,Нахожу подарок достаточно быстро,None,None,None,None,None,None
2022-05-22 21:43:26.475000,16-18,Мужской,Люблю покупать и дарить,None,None,None,None,None,None,None,None,Редко,Редко,Instagram,Очень тяжело,None,None,None,None,None,None
2022-05-22 21:43:30.892000,16-18,Мужской,Люблю покупать и дарить,None,None,None,None,None,None,None,None,Почти каждую неделю,Почти каждую неделю,Instagram,Нахожу подарок достаточно быстро,None,None,None,None,None,None
2022-05-22 21:43:53.224000,16-18,Женский,Cоздаю товары своими ручками,Делаю для себя и близких,я не продаю,"Нет, меня итак все устраивает",Никогда,не делаю этого,None,None,None,None,None,None,None,None,None,None,None,None,None
2022-05-22 21:44:42.063000,16-18,Мужской,Все из списка,None,None,None,None,None,None,None,None,None,None,None,None,Делаю для себя и близких,"Не ищу, но хотел бы",Редко,Редко,Instagram,Очень тяжело
2022-05-22 21:45:52.461000,19-24,Мужской,Люблю покупать и дарить,None,None,None,None,None,None,None,None,Редко,Редко,Instagram,Очень тяжело,None,None,None,None,None,None
2022-05-22 21:46:04.170000,16-18,Мужской,Я люблю дарить товары ручной работы,None,None,None,None,None,Редко,Avito,Нахожу подарок достаточно быстро,None,None,None,None,None,None,None,None,None,None
2022-05-22 21:47:03.571000,16-18,Мужской,Все из списка,None,None,None,None,None,None,None,None,None,None,None,None,Авито,Терпимо. Каждую неделю получаю заказы,Редко,Редко,Avito,Очень тяжело
2022-05-22 21:49:22.565000,16-18,Мужской,Все из списка,None,None,None,None,None,None,None,None,None,None,None,None,Авито,Тяжело. Раз в месяц,Редко,Редко,Avito,Очень тяжело
2022-05-22 21:49:27.486000,19-24,Мужской,Я люблю дарить товары ручной работы,None,None,None,None,None,Редко,Instagram,Очень тяжело,None,None,None,None,None,None,None,None,None,None
2022-05-22 21:54:24.232000,16-18,Женский,Люблю покупать и дарить,None,None,None,None,None,None,None,None,Редко,Редко,Instagram,Очень тяжело,None,None,None,None,None,None
2022-05-22 21:54:46.399000,16-18,Женский,Люблю покупать и дарить,None,None,None,None,None,None,None,None,Редко,Редко,Instagram,Очень тяжело,None,None,None,None,None,None
2022-05-22 21:54:55.760000,16-18,Женский,Люблю покупать и дарить,None,None,None,None,None,None,None,None,Редко,Почти каждый месяц,Instagram,Нахожу подарок достаточно быстро,None,None,None,None,None,None
2022-05-22 22:00:23.124000,16-18,Мужской,Люблю покупать и дарить,None,None,None,None,None,None,None,None,Редко,Редко,Instagram,Очень тяжело,None,None,None,None,None,None
2022-05-22 22:02:35.784000,16-18,Мужской,Люблю покупать и дарить,None,None,None,None,None,None,None,None,Редко,Редко,Instagram,Очень тяжело,None,None,None,None,None,None
2022-05-22 22:04:09.051000,16-18,Мужской,Люблю покупать и дарить,None,None,None,None,None,None,None,None,Редко,Редко,"Обычно ищу просто в интернете, если ничего не находится, лезу в иные ресурсы. ",Нахожу подарок достаточно быстро,None,None,None,None,None,None
2022-05-22 22:25:13.746000,19-24,Мужской,Люблю покупать и дарить,None,None,None,None,None,None,None,None,Редко,Редко,Instagram,Очень тяжело,None,None,None,None,None,None
2022-05-22 22:32:30.029000,19-24,Мужской,Люблю покупать и дарить,None,None,None,None,None,None,None,None,Редко,Редко,Instagram,Нахожу подарок достаточно быстро,None,None,None,None,None,None
2022-05-22 22:55:48.305000,16-18,Женский,Cоздаю товары своими ручками,Делаю для себя и близких,Не продаю ,"Нет, меня итак все устраивает",Никогда,Нигде ,None,None,None,None,None,None,None,None,None,None,None,None,None
2022-05-22 22:55:56.143000,16-18,Женский,Я люблю дарить товары ручной работы,None,None,None,None,None,Редко,Instagram,Вообще не является проблемой,None,None,None,None,None,None,None,None,None,None
2022-05-22 22:56:14.001000,16-18,Мужской,Cоздаю товары своими ручками,Делаю для себя и близких,Тяжело. Раз в месяц,"Да, хотелось бы",Почти каждый месяц,Instagram,None,None,None,None,None,None,None,None,None,None,None,None,None
2022-05-22 23:02:32.171000,16-18,Мужской,Люблю покупать и дарить,None,None,None,None,None,None,None,None,Редко,Редко,Avito,Очень тяжело,None,None,None,None,None,None
2022-05-22 23:03:15.501000,16-18,Мужской,Все из списка,None,None,None,None,None,None,None,None,None,None,None,None,Делаю для себя и близких,Их нет,Редко,Почти каждый месяц,Avito,Нахожу подарок достаточно быстро
2022-05-22 23:07:58.642000,16-18,Мужской,Люблю покупать и дарить,None,None,None,None,None,None,None,None,Редко,Редко,От друзей и знакомы,Нахожу подарок достаточно быстро,None,None,None,None,None,None
2022-05-22 23:10:34.734000,16-18,Женский,Cоздаю товары своими ручками,Делаю для себя и близких,Не работа,"Нет, меня итак все устраивает",Редко,Avito,None,None,None,None,None,None,None,None,None,None,None,None,None
2022-05-22 23:13:14.358000,40-60,Женский,Я люблю дарить товары ручной работы,None,None,None,None,None,Редко,Instagram,Очень тяжело,None,None,None,None,None,None,None,None,None,None
