Отметка времени,Сколько вам лет?,Ваш пол?,Я...,Где вы продвигаете свои товары?,Насколько тяжело находить клиентов?,"Хотели бы вы, чтобы о ваших товаров узнали как можно больше людей, в следствие чего увеличить продажи?",Как часто вы заказываете товары ручного производства (хендмейд) ДЛЯ СЕБЯ?,Где вы находите исполнителей?,Как часто вы заказываете товары ручного производства (хендмейд) В КАЧЕСТВЕ ПОДАРКА?,Где вы находите исполнителей?,На сколько вам тяжело придумать подарок?,Как часто вы заказываете товары ручного производства (хендмейд) В КАЧЕСТВЕ ПОДАРКА?,Как часто вы заказываете товары ручного производства (хендмейд) ДЛЯ СЕБЯ?,Где вы находите исполнителей?,На сколько вам тяжело придумать подарок?,Где вы продвигаете свои  созданные товары?,Насколько тяжело находить клиентов?,Как часто вы заказываете товары ручного производства (хендмейд) В КАЧЕСТВЕ ПОДАРКА?,Как часто вы заказываете товары ручного производства (хендмейд) ДЛЯ СЕБЯ?,Где вы находите исполнителей?,На сколько вам тяжело придумать подарок ?
2022-05-24 17:47:42.872000,16-18,Женский,Cоздаю товары своими ручками,Делаю для себя и близких,Тяжело. Раз в месяц,"Да, хотелось бы",Никогда,Instagram,None,None,None,None,None,None,None,None,None,None,None,None,None
2022-05-24 18:09:18.822000,27-40,Женский,Я люблю дарить товары ручной работы,None,None,None,None,None,Редко,Instagram,Очень тяжело,None,None,None,None,None,None,None,None,None,None
2022-05-24 18:09:53.625000,16-18,Женский,Cоздаю товары своими ручками,Делаю для себя и близких,Я их не ищу ,"Нет, меня итак все устраивает",Никогда,Не ищу ,None,None,None,None,None,None,None,None,None,None,None,None,None
2022-05-24 18:12:01.802000,16-18,Женский,Люблю покупать и дарить,None,None,None,None,None,None,None,None,Редко,Почти каждый месяц,Instagram,Вообще не является проблемой,None,None,None,None,None,None
2022-05-24 18:19:15.636000,16-18,Женский,Cоздаю товары своими ручками,Делаю для себя и близких,Легко. Каждый день получаю заказы,"Да, хотелось бы",Никогда,Instagram,None,None,None,None,None,None,None,None,None,None,None,None,None
2022-05-24 18:20:57.670000,16-18,Женский,Я люблю покупать себе товары ручной работы,None,None,None,Редко,Instagram,None,None,None,None,None,None,None,None,None,None,None,None,None
2022-05-24 18:22:16.536000,27-40,Женский,Cоздаю товары своими ручками,Делаю для себя и близких,Тяжело. Раз в месяц,"Да, хотелось бы",Редко,Instagram,None,None,None,None,None,None,None,None,None,None,None,None,None
2022-05-24 18:33:54.966000,19-24,Мужской,Люблю покупать и дарить,None,None,None,None,None,None,None,None,Редко,Никогда,Avito,Нахожу подарок достаточно быстро,None,None,None,None,None,None
2022-05-24 19:10:10.787000,16-18,Женский,Cоздаю товары своими ручками,Делаю для себя и близких,Тяжело. Раз в месяц,"Да, хотелось бы",Редко,Instagram,None,None,None,None,None,None,None,None,None,None,None,None,None
2022-05-24 19:28:11.651000,16-18,Женский,Люблю покупать и дарить,None,None,None,None,None,None,None,None,Редко,Редко,Instagram,Нахожу подарок достаточно быстро,None,None,None,None,None,None
2022-05-24 21:20:55.969000,27-40,Женский,Люблю покупать и дарить,None,None,None,None,None,None,None,None,Редко,Редко,Instagram,Вообще не является проблемой,None,None,None,None,None,None
2022-05-24 21:27:28.517000,27-40,Мужской,Люблю покупать и дарить,None,None,None,None,None,None,None,None,Редко,Никогда,Интернет,Нахожу подарок достаточно быстро,None,None,None,None,None,None
2022-05-24 21:39:08.810000,16-18,Женский,Я люблю дарить товары ручной работы,None,None,None,None,None,Редко,Instagram,Нахожу подарок достаточно быстро,None,None,None,None,None,None,None,None,None,None
2022-05-25 08:38:16.601000,16-18,Женский,Все из списка,None,None,None,None,None,None,None,None,None,None,None,None,Делаю для себя и близких,"Делаю для семьи, не продаю",Редко,Никогда,Instagram,Нахожу подарок достаточно быстро
2022-05-25 09:14:15.648000,16-18,Женский,Люблю покупать и дарить,None,None,None,None,None,None,None,None,Редко,Почти каждую неделю,Instagram,Нахожу подарок достаточно быстро,None,None,None,None,None,None
2022-05-25 11:59:10.348000,27-40,Мужской,Люблю покупать и дарить,None,None,None,None,None,None,None,None,Редко,Редко,Avito,Вообще не является проблемой,None,None,None,None,None,None
2022-05-25 13:00:11.568000,27-40,Мужской,Люблю покупать и дарить,None,None,None,None,None,None,None,None,Редко,Редко,Instagram,Нахожу подарок достаточно быстро,None,None,None,None,None,None
2022-05-25 15:41:15.659000,27-40,Женский,Cоздаю товары своими ручками,Instagram,Тяжело. Раз в месяц,"Да, хотелось бы",None,None,None,None,None,None,None,None,None,None,None,None,None,None,None
2022-05-25 17:20:12.802000,27-40,Женский,Cоздаю товары своими ручками,Делаю для себя и близких,шью только себе,"Нет, меня итак все устраивает",Редко,vk,None,None,None,None,None,None,None,None,None,None,None,None,None
2022-05-25 17:47:18.929000,27-40,Женский,Cоздаю товары своими ручками,Делаю для себя и близких,Почти нет клиентов. Индивидуальный пошив даже за небольшую сумму считают слишком дорогим. ,"Да, хотелось бы",Никогда,"Гугл, Ярмарка мастеров",None,None,None,None,None,None,None,None,None,None,None,None,None
2022-05-25 21:11:52.657000,27-40,Женский,Cоздаю товары своими ручками,Instagram,Тяжело. Раз в месяц,"Да, хотелось бы",None,None,None,None,None,None,None,None,None,None,None,None,None,None,None
2022-05-25 23:03:27.544000,40-60,Женский,Я люблю дарить товары ручной работы,None,None,None,None,None,Никогда,Avito,Нахожу подарок достаточно быстро,None,None,None,None,None,None,None,None,None,None
2022-05-26 04:38:20.377000,40-60,Женский,Cоздаю товары своими ручками,"ВК, ОК, Инстаграм ",Терпимо. Каждую неделю получаю заказы,"Да, хотелось бы",None,None,None,None,None,None,None,None,None,None,None,None,None,None,None
2022-05-26 07:04:38.139000,27-40,Мужской,Все из списка,None,None,None,None,None,None,None,None,None,None,None,None,Instagram,Легко. Каждый день получаю заказы,Редко,Редко,Instagram,Вообще не является проблемой
2022-05-26 09:06:14.080000,16-18,Женский,Люблю покупать и дарить,None,None,None,None,None,None,None,None,Редко,Редко,Instagram,Нахожу подарок достаточно быстро,None,None,None,None,None,None
2022-05-26 17:10:08.579000,40-60,Женский,Cоздаю товары своими ручками,ВКонтакте ,Тяжело. Раз в месяц,"Да, хотелось бы",None,None,None,None,None,None,None,None,None,None,None,None,None,None,None
2022-05-26 18:32:42.360000,40-60,Женский,Cоздаю товары своими ручками,Делаю для себя и близких,Терпимо. Каждую неделю получаю заказы,"Нет, меня итак все устраивает",Никогда,Вк,None,None,None,None,None,None,None,None,None,None,None,None,None
2022-05-26 22:58:56.055000,27-40,Мужской,Люблю покупать и дарить,None,None,None,None,None,None,None,None,Почти каждую неделю,Почти каждый месяц,Instagram,Очень тяжело,None,None,None,None,None,None
2022-05-27 11:00:03.742000,19-24,Мужской,Люблю покупать и дарить,None,None,None,None,None,None,None,None,Редко,Редко,"Ozon, Aliexpree",Очень тяжело,None,None,None,None,None,None
2022-05-27 11:19:29.154000,40-60,Женский,Cоздаю товары своими ручками,учствую в фестивалях и ярмарках ,Тяжело. Раз в месяц,"Да, хотелось бы",None,None,None,None,None,None,None,None,None,None,None,None,None,None,None
2022-05-28 03:04:35.633000,40-60,Женский,Cоздаю товары своими ручками,"Вк, юла, авито,  инстаграм до блокировки",Тяжело. Раз в месяц,"Да, хотелось бы",None,None,None,None,None,None,None,None,None,None,None,None,None,None,None
2022-05-28 23:36:31.522000,19-24,Мужской,Люблю покупать и дарить,None,None,None,None,None,None,None,None,Редко,Редко,Тик ток ,Нахожу подарок достаточно быстро,None,None,None,None,None,None
2022-05-30 00:25:18.329000,27-40,Женский,Cоздаю товары своими ручками,Вк,Не получаются продажи,"Да, хотелось бы",None,None,None,None,None,None,None,None,None,None,None,None,None,None,None
2022-05-30 07:45:55.395000,27-40,Женский,Cоздаю товары своими ручками,"Вконтакте, Пинтерест, Ярмарка мастеров (там планирую)",Тяжело. Раз в месяц,"Да, хотелось бы",None,None,None,None,None,None,None,None,None,None,None,None,None,None,None
2022-06-01 19:20:45.115000,27-40,Женский,Cоздаю товары своими ручками,Себе и ВК,Тяжело. Раз в месяц,"Да, хотелось бы",None,None,None,None,None,None,None,None,None,None,None,None,None,None,None
2022-08-10 14:57:55.853000,16-18,Мужской,Люблю покупать и дарить,None,None,None,None,None,None,None,None,Редко,Редко,интернет,Очень тяжело,None,None,None,None,None,None
2022-08-30 17:33:55.166000,27-40,Женский,Cоздаю товары своими ручками,Делаю для себя и близких,это пока только хобби,"Да, хотелось бы",Никогда,"то, что мне нужно, я делаю сама",None,None,None,None,None,None,None,None,None,None,None,None,None
